traceKey,width,kind
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_29_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_3_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_3_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_3_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_30_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_30_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_30_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_31_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_31_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_31_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_4_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_4_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_4_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_5_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_5_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_5_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_6_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_6_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_6_maybe_full,1,reg
